author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Calvin Watkins,4,4,22.30342741935484,0.18825604838709678,0.20438508064516128,0.32182459677419356,0.803679435483871,7.467237903225806
Roy Countryman,3,3,22.217741935483872,0.14616935483870966,0.2516801075268817,0.26243279569892475,0.821236559139785,8.56149193548387
Danny Parkins,1,1,22.1875,0.21875,0.1875,0.3125,0.875,10.5
Jess Overby,1,1,22.1875,0.1875,0.21875,0.28125,0.71875,11.25
Jeff Bell,2,2,22.03125,0.203125,0.21875,0.25,0.859375,8.421875
Micky McKeon,2,2,22.03125,0.1875,0.203125,0.3125,0.765625,9.578125
John McClain,2,2,22.03125,0.171875,0.1875,0.375,0.71875,9.0
Zack Pearson,3,3,21.979166666666668,0.1875,0.21875,0.2708333333333333,0.8020833333333334,8.145833333333334
Jake Rosen,3,3,21.979166666666668,0.16666666666666666,0.21875,0.3020833333333333,0.84375,6.916666666666667
Staff,53,6,21.952982349360926,0.17762857577601948,0.2101909616555082,0.3057288496652465,0.7974170724284845,8.358528606208155
Sean Koerner,3,3,21.93212365591398,0.1797715053763441,0.2211021505376344,0.27419354838709675,0.8528225806451614,6.766801075268817
Matt Robinson,1,1,21.875,0.1875,0.25,0.1875,0.875,7.75
Ryan Kramer,1,1,21.875,0.15625,0.21875,0.3125,0.8125,7.21875
Ryan Wilson,6,6,21.7372311827957,0.16717069892473116,0.2300067204301075,0.2610887096774193,0.8062836021505376,9.025033602150538
Mike Kiwak,4,4,21.703629032258064,0.18850806451612903,0.22076612903225806,0.2505040322580645,0.8031754032258065,8.33366935483871
Jason La Canfora,4,4,21.67842741935484,0.19606854838709678,0.19657258064516128,0.29838709677419356,0.8029233870967742,8.910282258064516
Brad Spielberger,1,1,21.61290322580645,0.1290322580645161,0.2903225806451613,0.1612903225806451,0.8709677419354839,7.032258064516129
Michael Renner,3,3,21.5625,0.17708333333333334,0.20833333333333334,0.2916666666666667,0.8020833333333334,9.864583333333334
Brad Biggs,2,2,21.5625,0.171875,0.203125,0.3125,0.796875,7.375
Rob Staton,3,3,21.5625,0.16666666666666666,0.21875,0.28125,0.8333333333333334,8.645833333333334
Donnie Druin,1,1,21.5625,0.15625,0.25,0.21875,0.84375,9.125
Brett Gibbons,2,2,21.5625,0.15625,0.21875,0.296875,0.8125,8.703125
