author_name,mock_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Justin Rogers,The Detroit News,1,1,21.5625,0.15625,0.1875,0.375,0.6875,1.0,8.46875
Rob Rang,NFL Draft Scout,1,1,21.5625,0.125,0.21875,0.34375,0.78125,1.0,7.3125
Ryan Roberts,College Sports Wire,1,1,21.5625,0.125,0.21875,0.34375,0.84375,1.0,6.40625
Phil Perry,NBC Sports Boston,5,5,21.546370967741936,0.18205645161290324,0.20120967741935486,0.30120967741935484,0.8237903225806452,1.0,8.331653225806452
Keith Sanchez,The Draft Network,3,3,21.458333333333332,0.16666666666666666,0.20833333333333334,0.3020833333333333,0.8020833333333334,1.0,11.291666666666666
Steven Cheah,Barstool Sports,4,4,21.428931451612904,0.16481854838709678,0.25126008064516125,0.19606854838709678,0.8117439516129032,1.0,8.773185483870968
Justin Fried,The Jet Press,1,1,21.29032258064516,0.1290322580645161,0.2580645161290322,0.2258064516129032,0.8387096774193549,1.0,8.870967741935484
Nick O'Malley,Mass Live,1,1,21.29032258064516,0.1290322580645161,0.2580645161290322,0.2258064516129032,0.7741935483870968,1.0,7.419354838709677
Brian Miller,Phin Phanatic,1,1,21.25,0.15625,0.21875,0.28125,0.78125,1.0,7.78125
Chet Gresham,Draft Kings,3,3,21.236559139784948,0.16834677419354838,0.2315188172043011,0.23051075268817203,0.863239247311828,1.0,6.560483870967741
Jess Root,Cards Wire,2,2,21.118951612903228,0.17338709677419356,0.20463709677419356,0.2842741935483871,0.8089717741935484,1.0,8.363407258064516
Roy Countryman,Prospectencyclopedia,2,2,20.982862903225808,0.1098790322580645,0.25252016129032256,0.2530241935483871,0.8568548387096775,1.0,8.545362903225806
Theo Mackie,Arizona Republic,1,1,20.9375,0.21875,0.1875,0.25,0.8125,1.0,10.625
Tony Pauline,Pro Football Network,2,2,20.9375,0.1875,0.1875,0.296875,0.828125,1.0,7.53125
