author_name,mocks_scraped,years_covered,avg_site_completion_percentage,avg_exact_pick_match_rate,avg_team_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Ben Natan,6,5,16.106666666666666,0.15221774193548385,0.16297043010752688,0.7941868279569894,1.0,10.221774193548386
Connor Allen,3,3,16.106666666666666,0.11666666666666665,0.21388888888888888,0.8298611111111112,1.0,7.239583333333333
Mike Hrynyshyn,3,2,16.026666666666667,0.11458333333333333,0.16666666666666666,0.8229166666666666,1.0,9.166666666666666
Hunter Haas,2,2,15.985,0.125,0.15625,0.828125,1.0,8.046875
Ken Zalis,1,1,15.87,0.1290322580645161,0.1290322580645161,0.8064516129032258,1.0,10.161290322580646
Bill Zimmerman,1,1,15.87,0.125,0.15625,0.84375,1.0,8.875
Tori McElhaney,1,1,15.87,0.09375,0.125,0.8125,1.0,7.125
Ian Fitz,1,1,15.87,0.09375,0.09375,0.71875,1.0,12.125
Chris Trapasso,6,6,15.825000000000001,0.13054435483870966,0.19354838709677416,0.7908266129032259,1.0,9.685819892473118
Blake Murphy,1,1,15.63,0.1612903225806451,0.0967741935483871,0.8064516129032258,1.0,8.870967741935484
Nick O'Malley,1,1,15.63,0.1290322580645161,0.2580645161290322,0.7741935483870968,1.0,7.419354838709677
Domonique Foxworth,1,1,15.63,0.09375,0.15625,0.75,1.0,9.84375
Cody Williams,3,3,15.625,0.14583333333333334,0.15625,0.78125,1.0,10.385416666666666
Andrew Caley,3,2,15.543333333333335,0.18259408602150537,0.20376344086021503,0.8712365591397849,1.0,6.205913978494624
Colin Cowherd,1,1,15.38,0.4,0.2666666666666666,0.9333333333333332,1.0,6.066666666666666
Damian Parson,1,1,15.38,0.1290322580645161,0.1935483870967742,0.7096774193548387,1.0,11.096774193548388
Jonathan Jones,1,1,15.38,0.1290322580645161,0.1935483870967742,0.8387096774193549,1.0,8.774193548387096
Paul Bretl,1,1,15.38,0.125,0.15625,0.84375,1.0,5.71875
Connor O'Gara,1,1,15.14,0.1290322580645161,0.1290322580645161,0.8064516129032258,1.0,11.516129032258064
Luke Easterling,3,3,15.063333333333333,0.13888888888888887,0.1798611111111111,0.8291666666666666,1.0,7.256944444444444
Daniel Kornhauser,2,2,15.02,0.11139112903225805,0.22328629032258066,0.8089717741935484,1.0,8.816532258064516
Zach Brunner,4,4,14.965,0.12525201612903225,0.14919354838709678,0.8419858870967742,1.0,9.58039314516129
Adam Hermann,1,1,14.9,0.1290322580645161,0.1935483870967742,0.7419354838709677,1.0,11.290322580645162
Jacob Louque,1,1,14.9,0.125,0.1875,0.84375,1.0,9.1875
Art Stapleton,1,1,14.9,0.09375,0.1875,0.75,1.0,9.25
Kyler Cress,1,1,14.9,0.09375,0.1875,0.84375,1.0,10.71875
Ben Raven,3,3,14.74,0.09375,0.16666666666666666,0.75,1.0,11.177083333333334
Bill Richette,1,1,14.66,0.15625,0.15625,0.84375,1.0,8.4375
Adrian Broaddus,1,1,14.66,0.1290322580645161,0.1290322580645161,0.8709677419354839,1.0,6.129032258064516
Bill Burt,1,1,14.66,0.0967741935483871,0.1935483870967742,0.8064516129032258,1.0,9.64516129032258
John Laub,1,1,14.66,0.09375,0.25,0.78125,1.0,7.84375
Paul M Banks,3,3,14.503333333333332,0.08333333333333333,0.13541666666666666,0.78125,1.0,11.770833333333334
Tim Bielik,4,4,14.4225,0.10231854838709678,0.1736391129032258,0.7951108870967742,1.0,10.931199596774194
Destin Adams,1,1,14.42,0.125,0.15625,0.75,1.0,10.25
Brenden Armour,1,1,14.42,0.09375,0.1875,0.75,1.0,9.65625
Peter Bukowski,1,1,14.42,0.09375,0.125,0.75,1.0,10.03125
Dylan Sanders,2,2,14.305,0.125,0.15625,0.765625,1.0,11.484375
Michael Marino,2,2,14.305,0.110383064516129,0.1748991935483871,0.8251008064516129,1.0,9.148689516129032
Brad Weiss,1,1,14.18,0.0967741935483871,0.1612903225806451,0.8387096774193549,1.0,11.451612903225806
Zack Dietz,1,1,14.18,0.09375,0.1875,0.78125,1.0,9.40625
Mark Schofield,1,1,14.18,0.09375,0.125,0.78125,1.0,15.9375
Matt De Lima,1,1,14.18,0.09375,0.125,0.875,1.0,7.90625
Matt Maiocco,1,1,14.18,0.09375,0.09375,0.8125,1.0,12.0
Jason Bantle,2,2,14.065000000000001,0.140625,0.203125,0.78125,1.0,9.953125
Brett Whitefield,2,2,14.06,0.11139112903225805,0.14264112903225806,0.8251008064516129,1.0,9.639616935483872
Nate Davis,1,1,13.94,0.09375,0.1875,0.8125,1.0,8.59375
Brian Philpot,1,1,13.94,0.09375,0.125,0.90625,1.0,8.125
Jake Oliver,2,2,13.825,0.094758064516129,0.14213709677419356,0.872983870967742,1.0,7.539314516129032
Jeff Risdon,3,3,13.700000000000001,0.104502688172043,0.13608870967741934,0.821236559139785,1.0,9.531586021505376
Dane Massey,1,1,13.7,0.0967741935483871,0.1290322580645161,0.8064516129032258,1.0,10.67741935483871
JR Radcliffe,1,1,13.7,0.0625,0.125,0.84375,1.0,5.1875
Newt Westen,1,1,13.7,0.0625,0.09375,0.8125,1.0,6.28125
Tyler Forness,2,2,13.585,0.079133064516129,0.15877016129032256,0.7615927419354839,1.0,9.974798387096774
Chris Congemo,1,1,13.22,0.09375,0.15625,0.78125,1.0,17.40625
Mark Craig,1,1,13.22,0.0625,0.09375,0.71875,1.0,10.28125
Rob Judin,2,2,13.1,0.078125,0.0942540322580645,0.7610887096774194,1.0,12.71421370967742
PJ Moran,1,1,12.98,0.15625,0.09375,0.71875,1.0,8.90625
Zack Patraw,1,1,12.74,0.0967741935483871,0.1612903225806451,0.7419354838709677,1.0,10.903225806451612
Eric Samulski,1,1,12.5,0.0967741935483871,0.1290322580645161,0.7741935483870968,1.0,11.290322580645162
Bobby Sylvester,1,1,12.5,0.09375,0.1875,0.71875,1.0,11.09375
Mike Lockhart,2,2,12.38,0.09627016129032255,0.11189516129032255,0.8563508064516129,1.0,9.057459677419356
Hussam Patel,1,1,12.26,0.1290322580645161,0.1290322580645161,0.8387096774193549,1.0,5.903225806451613
Andrew Golden,1,1,12.26,0.09375,0.125,0.78125,1.0,11.5
Justin Bales,1,1,12.26,0.09375,0.09375,0.875,1.0,12.46875
Sawyer Hicks,1,1,12.26,0.0625,0.15625,0.75,1.0,12.65625
Sayre Bedinger,3,1,12.020000000000001,0.09677419354838707,0.15053763440860213,0.8172043010752689,1.0,8.010752688172044
Luke Reimer,1,1,12.02,0.09375,0.1875,0.84375,1.0,11.4375
Cam Mellor,2,2,12.02,0.08014112903225805,0.12752016129032256,0.7777217741935484,1.0,14.920362903225806
Andrew Buller-Russ,1,1,12.02,0.064516129032258,0.0967741935483871,0.7741935483870968,1.0,12.870967741935484
Keith Libby,1,1,11.78,0.0625,0.09375,0.8125,1.0,14.5625
Garion Thorne,1,1,11.3,0.3,0.3,1.0,1.0,2.8
Dylan Chappine,1,1,11.3,0.125,0.1875,0.84375,1.0,9.6875
Christian D'Andrea,1,1,11.3,0.09375,0.15625,0.8125,1.0,5.6875
Lou Scataglia,1,1,11.06,0.4,0.3,1.0,1.0,4.4
Dalton Johnson & Josh Schrock,1,1,11.06,0.0625,0.1875,0.78125,1.0,8.96875
Lorenz Leinweber,1,1,10.82,0.0625,0.15625,0.8125,1.0,10.59375
Craig Strachan,1,1,10.82,0.0625,0.09375,0.8125,1.0,13.5625
Randy Gurzi,1,1,10.58,0.0967741935483871,0.064516129032258,0.7419354838709677,1.0,12.193548387096774
Conor Dorney,1,1,10.58,0.09375,0.09375,0.78125,1.0,9.6875
Gilbert Manzano,1,1,10.58,0.0625,0.1875,0.75,1.0,8.0625
Jarrett Bailey,3,3,10.493333333333334,0.07291666666666667,0.09375,0.7395833333333334,1.0,16.5625
Derek Togerson,1,1,9.86,0.125,0.0625,0.71875,1.0,10.625
David P. Woods,1,1,9.86,0.064516129032258,0.1612903225806451,0.8387096774193549,1.0,6.838709677419355
Patrick Flowers,1,1,9.86,0.064516129032258,0.1612903225806451,0.7741935483870968,1.0,11.774193548387096
Mike O'Hara,1,1,9.13,0.0625,0.09375,0.84375,1.0,12.0625
Scott Gorman,1,1,9.13,0.03125,0.125,0.78125,1.0,14.1875
Ralph Vacchiano,1,1,8.89,0.2,0.4,1.0,1.0,4.1
Ben Volin,1,1,8.89,0.03125,0.125,0.8125,1.0,9.90625
Tyler Roman,2,2,8.655,0.03125,0.125,0.796875,1.0,10.59375
Jim Derry,1,1,8.41,0.4,0.2,0.9,1.0,4.2
Jack McKessy,1,1,8.41,0.032258064516129,0.032258064516129,0.7419354838709677,0.967741935483871,12.133333333333333
John Supowitz,1,1,6.97,0.0666666666666666,0.0666666666666666,0.8,1.0,10.333333333333334
Keith Manlove,1,1,6.73,0.0,0.03125,0.34375,1.0,49.8125
Spencer Urquhart,1,1,6.49,0.1,0.1,0.9,1.0,9.0
Alex Kozora,1,1,6.01,0.03125,0.0625,0.8125,1.0,13.9375
Drae Harris,1,1,6.01,0.03125,0.0625,0.78125,1.0,10.6875
Natalie Miller,1,1,5.05,0.0,0.0625,0.78125,1.0,13.46875
Mike Frazer,1,1,4.81,0.0,0.0,0.7666666666666667,1.0,12.466666666666669
Landon Belote,1,1,,0.1875,0.15625,0.875,1.0,9.84375
