player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Keyshaun Elliott,LB,1,1,1,5.0,5.0,5,5,,,,,1,Denver Broncos,denver-broncos
Lewis Bond,WR,1,1,1,6.0,6.0,6,6,,,,,1,Atlanta Falcons,atlanta-falcons
Malik Benson,WR,1,1,1,5.0,5.0,5,5,,,,,1,New York Giants,new-york-giants
Mark Gronowski,QB,1,1,1,6.0,6.0,6,6,,,,,1,Philadelphia Eagles,philadelphia-eagles
Marlin Klein,TE,1,1,1,3.0,3.0,3,3,,,,,1,Denver Broncos,denver-broncos
Matthew Hibner,TE,1,1,1,6.0,6.0,6,6,,,,,1,Cincinnati Bengals,cincinnati-bengals
Monroe Freeling,OT,1,1,1,1.0,1.0,1,1,,,,,1,Philadelphia Eagles,philadelphia-eagles
Quintayvious Hutchins,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Atlanta Falcons,atlanta-falcons
R Mason Thomas,EDGE,1,1,1,2.0,2.0,2,2,,,,,1,Carolina Panthers,carolina-panthers
Riley Mahlman,OT,1,1,1,7.0,7.0,7,7,,,,,1,Los Angeles Rams,los-angeles-rams
Romello Brinson,WR,1,1,1,7.0,7.0,7,7,,,,,1,Minnesota Vikings,minnesota-vikings
Sawyer Robertson,QB,1,1,1,5.0,5.0,5,5,,,,,1,New York Jets,new-york-jets
Tanner Koziol,TE,1,1,1,6.0,6.0,6,6,,,,,1,Carolina Panthers,carolina-panthers
Tristan Leigh,OT,1,1,1,5.0,5.0,5,5,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Will Kacmarek,TE,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
