team_slug,team_name,player_name,player_position,weighted_mock_score,raw_mock_count,unique_mocks,unique_authors,avg_pick,median_pick,min_pick,max_pick,avg_author_weight,team_specific_weight_uses,weighted_team_total,raw_team_total,weighted_share_of_team_picks
dallas-cowboys,Dallas Cowboys,Kadyn Proctor,OT,3.2222222222222223,7,6,6,17.714285714285715,20.0,12,20,0.46031746031746035,6,145.69905660377358,448,0.022115601139305986
dallas-cowboys,Dallas Cowboys,Arvell Reese,LB,3.0833333333333335,11,10,10,4.909090909090909,3.0,3,12,0.28030303030303033,7,145.69905660377358,448,0.021162342469508315
dallas-cowboys,Dallas Cowboys,Jeremiyah Love,RB,2.9,9,9,9,7.111111111111111,4.0,3,12,0.3222222222222222,6,145.69905660377358,448,0.019904041025375387
dallas-cowboys,Dallas Cowboys,T.J. Parker,EDGE,2.805555555555556,9,9,9,18.22222222222222,20.0,12,20,0.31172839506172845,8,145.69905660377358,448,0.01925582512991297
dallas-cowboys,Dallas Cowboys,Jacob Rodriguez,LB,2.4722222222222223,8,8,8,20.0,20.0,20,20,0.3090277777777778,5,145.69905660377358,448,0.016968004322398558
dallas-cowboys,Dallas Cowboys,Cashius Howell,EDGE,2.011111111111111,6,6,6,19.333333333333332,20.0,16,20,0.3351851851851852,3,145.69905660377358,448,0.013803185538670286
dallas-cowboys,Dallas Cowboys,Monroe Freeling,OT,1.6944444444444444,7,7,7,17.0,20.0,12,20,0.24206349206349206,6,145.69905660377358,448,0.011629755771531596
dallas-cowboys,Dallas Cowboys,Chris Johnson,CB,1.6555555555555557,6,6,6,22.166666666666668,20.0,20,29,0.27592592592592596,6,145.69905660377358,448,0.011362843343988249
dallas-cowboys,Dallas Cowboys,Spencer Fano,OT,1.6555555555555554,5,5,5,16.8,20.0,12,20,0.3311111111111111,3,145.69905660377358,448,0.011362843343988247
dallas-cowboys,Dallas Cowboys,Zion Young,EDGE,1.3888888888888888,2,2,2,20.0,20.0,20,20,0.6944444444444444,2,145.69905660377358,448,0.009532586697976717
dallas-cowboys,Dallas Cowboys,Peter Woods,DL,1.29874213836478,4,4,4,19.0,20.0,16,20,0.324685534591195,1,145.69905660377358,448,0.008913867863240115
dallas-cowboys,Dallas Cowboys,R Mason Thomas,EDGE,1.1111111111111112,3,3,3,17.333333333333332,20.0,12,20,0.3703703703703704,2,145.69905660377358,448,0.007626069358381374
dallas-cowboys,Dallas Cowboys,Omar Cooper Jr.,WR,0.9444444444444445,3,3,3,17.333333333333332,20.0,12,20,0.3148148148148148,3,145.69905660377358,448,0.006482158954624169
dallas-cowboys,Dallas Cowboys,Francis Mauigoa,OT,0.6666666666666667,2,2,2,12.0,12.0,12,12,0.33333333333333337,2,145.69905660377358,448,0.004575641615028825
dallas-cowboys,Dallas Cowboys,Jordyn Tyson,WR,0.6000000000000001,2,2,2,12.0,12.0,12,12,0.30000000000000004,2,145.69905660377358,448,0.004118077453525943
dallas-cowboys,Dallas Cowboys,Caleb Banks,DL,0.5555555555555556,2,2,2,20.0,20.0,20,20,0.2777777777777778,2,145.69905660377358,448,0.003813034679190687
