team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
las-vegas-raiders,Las Vegas Raiders,Kaelon Black,RB,1,1,1,6.0,6.0,6,6,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Kaleb Elarms-Orr,LB,1,1,1,6.0,6.0,6,6,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Riley Nowakowski,TE,1,1,1,6.0,6.0,6,6,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Ted Hurst,WR,1,1,1,3.0,3.0,3,3,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Trey Smack,K,1,1,1,7.0,7.0,7,7,,,,,17,0.058823529411764705
las-vegas-raiders,Las Vegas Raiders,Zakee Wheatley,S,1,1,1,4.0,4.0,4,4,,,,,17,0.058823529411764705
miami-dolphins,Miami Dolphins,A.J. Haulcy,S,2,2,2,3.0,3.0,3,3,,,,,18,0.1111111111111111
miami-dolphins,Miami Dolphins,Austin Barber,OT,1,1,1,5.0,5.0,5,5,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Avieon Terrell,CB,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Cade Klubnik,QB,1,1,1,7.0,7.0,7,7,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Caleb Downs,S,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Davison Igbinosun,CB,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Deion Burks,WR,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Joshua Josephs,EDGE,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Justin Joly,TE,1,1,1,4.0,4.0,4,4,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Kayden McDonald,DL,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Kevin Concepcion,WR,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Logan Jones,IOL,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Malachi Fields,WR,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Mansoor Delane,CB,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Nadame Tucker,EDGE,1,1,1,7.0,7.0,7,7,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,Oscar Delp,TE,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
miami-dolphins,Miami Dolphins,T.J. Parker,EDGE,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
minnesota-vikings,Minnesota Vikings,A.J. Haulcy,S,1,1,1,2.0,2.0,2,2,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Brandon Cisse,CB,1,1,1,2.0,2.0,2,2,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Eli Heidenreich,WR,1,1,1,6.0,6.0,6,6,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Jack Kelly,LB,1,1,1,7.0,7.0,7,7,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Jalen Huskey,CB,1,1,1,7.0,7.0,7,7,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Kaden Wetjen,WR,1,1,1,7.0,7.0,7,7,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Kayden McDonald,DL,1,1,1,2.0,2.0,2,2,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Kaytron Allen,RB,1,1,1,5.0,5.0,5,5,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Logan Jones,IOL,1,1,1,3.0,3.0,3,3,,,,,10,0.1
minnesota-vikings,Minnesota Vikings,Max Bredeson,RB,1,1,1,7.0,7.0,7,7,,,,,10,0.1
new-england-patriots,New England Patriots,Adam Randall,RB,2,2,2,5.0,5.0,5,5,,,,,41,0.04878048780487805
new-england-patriots,New England Patriots,Haynes King,QB,2,2,2,6.5,6.5,6,7,,,,,41,0.04878048780487805
new-england-patriots,New England Patriots,Micah Morris,IOL,2,2,2,6.0,6.0,6,6,,,,,41,0.04878048780487805
new-england-patriots,New England Patriots,Oscar Delp,TE,2,2,2,3.0,3.0,3,3,,,,,41,0.04878048780487805
new-england-patriots,New England Patriots,TJ Hall,CB,2,2,2,6.0,6.0,6,6,,,,,41,0.04878048780487805
new-england-patriots,New England Patriots,Aiden Fisher,LB,1,1,1,4.0,4.0,4,4,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Blake Miller,OT,1,1,1,1.0,1.0,1,1,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Bud Clark,S,1,1,1,4.0,4.0,4,4,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Chris Bell,WR,1,1,1,2.0,2.0,2,2,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Derrick Moore,EDGE,1,1,1,2.0,2.0,2,2,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Dontay Corleone,DL,1,1,1,5.0,5.0,5,5,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,George Gumbs Jr.,EDGE,1,1,1,6.0,6.0,6,6,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Isaiah World,OT,1,1,1,4.0,4.0,4,4,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Jaishawn Barham,LB,1,1,1,2.0,2.0,2,2,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Jakobe Thomas,S,1,1,1,6.0,6.0,6,6,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Joe Royer,TE,1,1,1,4.0,4.0,4,4,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Jordan van den Berg,DL,1,1,1,7.0,7.0,7,7,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Josh Cameron,WR,1,1,1,6.0,6.0,6,6,,,,,41,0.024390243902439025
new-england-patriots,New England Patriots,Jude Bowry,OT,1,1,1,4.0,4.0,4,4,,,,,41,0.024390243902439025
