ingested_at,method,status,section,mock_relative_url,detail
2026-04-06T10:03:23.903804,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/commanders-hogs-haven-2026-ryan-fowler?date=2026-04-04,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_commanders-hogs-haven-2026-ryan-fowler_date=2026-04-04.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:29.020382,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/chiefs-si-2026-jared-feinberg?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_chiefs-si-2026-jared-feinberg_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:34.636220,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/eagles-bleeding-green-nation-2026-ben-natan?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_eagles-bleeding-green-nation-2026-ben-natan_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:41.305865,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/raiders-just-blog-baby-2026-levi-dombro?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_raiders-just-blog-baby-2026-levi-dombro_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:47.499271,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/chiefs-arrowhead-addict-2026-braden-holecek?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_chiefs-arrowhead-addict-2026-braden-holecek_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:53.856734,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/buccaneers-pewter-plank-2026-josh-crysler?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_buccaneers-pewter-plank-2026-josh-crysler_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:03:59.572124,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/dolphins-si-2026-alain-poupart?date=2026-04-05,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_dolphins-si-2026-alain-poupart_date=2026-04-05.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:04.721352,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/steelers-steelers-wire-2026-curt-popejoy?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_steelers-steelers-wire-2026-curt-popejoy_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:09.655977,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/browns-dawgs-by-nature-2026-jared-mueller?date=2026-04-03,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_browns-dawgs-by-nature-2026-jared-mueller_date=2026-04-03.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:14.655323,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/steelers-steelers-wire-2026-curt-popejoy?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_steelers-steelers-wire-2026-curt-popejoy_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:20.288453,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/bears-bears-wire-2026-mike-pendleton?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_bears-bears-wire-2026-mike-pendleton_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:26.140343,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/packers-packers-wire-2026-zach-kruse?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_packers-packers-wire-2026-zach-kruse_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:31.578074,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/broncos-broncos-wire-2026-jon-heath?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_broncos-broncos-wire-2026-jon-heath_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:31.614172,uploaded_html,failed,,https://www.nflmockdraftdatabase.com/team-mock-drafts/2026/buccaneers-buccaneers-com-2026-brianna-dix?date=2026-04-02,Expecting property name enclosed in double quotes: line 1 column 15579 (char 15578)
2026-04-06T10:04:38.090904,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/vikings-purple-ptsd-2026-brevan-bane?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_vikings-purple-ptsd-2026-brevan-bane_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:43.896393,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/cowboys-blogging-the-boys-2026-brian-martin?date=2026-03-31,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_cowboys-blogging-the-boys-2026-brian-martin_date=2026-03-31.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:49.974846,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/seahawks-field-gulls-2026-doug-farrar?date=2026-03-31,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_seahawks-field-gulls-2026-doug-farrar_date=2026-03-31.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:04:56.920961,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/cowboys-the-landry-hat-2026-sayre-bedinger?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_cowboys-the-landry-hat-2026-sayre-bedinger_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T10:05:03.061165,uploaded_html,ingested,team-mock-drafts,/team-mock-drafts/2026/lions-pride-of-detroit-2026-jimmy-liao?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_team-mock-drafts_2026_lions-pride-of-detroit-2026-jimmy-liao_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
