author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
Jacob Infante,Windy City Gridiron,1,25.0,3.0,0.25,0.5,0.0,0.25,0.0,0.75,1.0,0.25,0.0,0.0,3.0,0.25,
Nate Atkins,Bears Wire,1,25.0,3.0,0.25,0.5,0.0,0.25,0.0,0.5,1.0,0.25,0.0,0.0,3.0,0.25,
Ryan Heckman,Bear Goggles On,1,25.0,3.0,0.25,0.25,0.0,0.25,0.0,0.75,1.0,0.25,0.0,0.0,3.0,0.25,
Terrin Waack,AtlantaFalcons.com,1,25.0,6.0,0.25,0.25,0.0,0.25,0.0,0.375,0.875,0.125,0.0,0.375,6.0,0.25,
Adam New,Vikings Territory,1,25.0,6.0,0.25,0.125,0.0,0.25,0.0,0.125,0.875,0.125,0.125,0.125,6.0,0.25,
Lester A. Wiltfong Jr.,Windy City Gridiron,1,25.0,6.0,0.25,0.25,0.0,0.125,0.0,0.25,1.0,0.125,0.125,0.125,6.0,0.25,
Dustin Baker,Vikings Territory,1,25.0,6.0,0.25,0.125,0.0,0.125,0.0,0.375,0.625,0.125,0.125,0.125,6.0,0.25,
Phil Perry,NBC Sports Boston,1,25.0,6.0,0.25,0.125,0.0,0.125,0.0,0.625,1.0,0.125,0.0,0.375,6.0,0.25,
Ray Aspuria,Silver And Black Pride,1,25.0,6.0,0.25,0.125,0.0,0.125,0.0,0.5,1.0,0.125,0.125,0.125,6.0,0.25,
Vincent Frank,Sportsnaut,1,25.0,9.0,0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.25,9.0,0.25,
Cole Thompson,Texans Wire,1,25.0,6.0,0.25,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.25,0.25,6.0,0.25,
Matthew Curry,Titans Wire,1,23.809523809523807,5.0,0.23809523809523808,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,5.0,0.23809523809523808,
Mike Moraitis,Titans Wire,1,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,1.0,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Nick Farabaugh,Steelers Now,1,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.42857142857142855,5.0,0.23809523809523808,
Saad Yousuf,The Athletic,1,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.8571428571428571,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Scott Pavelle,Steelers Depot,1,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.42857142857142855,5.0,0.23809523809523808,
Erik Schlitt,Pride of Detroit,1,23.809523809523807,5.0,0.23809523809523808,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,5.0,0.23809523809523808,
Jarrett Bailey,Behind The Steel Curtain,1,23.809523809523807,5.0,0.23809523809523808,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,1.0,0.14285714285714285,0.0,0.2857142857142857,5.0,0.23809523809523808,
Mike Moraitis,Sporting News,1,23.809523809523807,5.0,0.23809523809523808,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,5.0,0.23809523809523808,
Brian Martin,Blogging The Boys,1,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Ryan Roberts,College Sports Wire,2,23.809523809523807,5.0,0.23809523809523808,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.9285714285714286,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Jeff Risdon,Lions Wire,1,23.809523809523807,5.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Jonathan Heitritter,Steelers Depot,1,23.809523809523807,5.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.2857142857142857,0.14285714285714285,5.0,0.23809523809523808,
Alex Katson,Chargers Wire,1,23.333333333333332,7.0,0.23333333333333334,0.2,0.0,0.2,0.0,0.3,0.9,0.1,0.1,0.2,7.0,0.23333333333333334,
Patrick Flowers,Bleacher Nation,2,22.77777777777778,3.5,0.2277777777777778,0.3666666666666667,0.0,0.3,0.0,0.2833333333333333,0.9166666666666667,0.2,0.0,0.08333333333333333,3.5,0.2277777777777778,
Bryan Manning,Commandres Wire,1,22.22222222222222,6.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,0.2222222222222222,1.0,0.1111111111111111,0.0,0.3333333333333333,6.0,0.2222222222222222,
Paul Bretl,Colts Wire,1,22.22222222222222,4.0,0.2222222222222222,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,4.0,0.2222222222222222,
Paul Schwartz,NY Post,1,22.22222222222222,4.0,0.2222222222222222,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,1.0,0.16666666666666666,0.0,0.16666666666666666,4.0,0.2222222222222222,
Pat Lane,Pats Pulpit,1,22.22222222222222,6.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.4444444444444444,1.0,0.1111111111111111,0.0,0.3333333333333333,6.0,0.2222222222222222,
Ben Standig,The Athletic,1,22.22222222222222,6.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,1.0,0.1111111111111111,0.0,0.3333333333333333,6.0,0.2222222222222222,
Matt Urben,Falcons Wire,1,22.22222222222222,6.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,1.0,0.0,0.2222222222222222,0.2222222222222222,6.0,0.2222222222222222,
Kelsey Conway,Cincinnati.com,1,22.22222222222222,2.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,2.0,0.2222222222222222,
Hal Habib,The Palm Beach Post,1,22.22222222222222,4.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,0.3333333333333333,0.0,4.0,0.2222222222222222,
Jacob Westendorf,SI,1,22.22222222222222,4.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.16666666666666666,0.3333333333333333,4.0,0.2222222222222222,
Carmen Vitali,Fox Sports,3,22.01058201058201,4.666666666666667,0.2201058201058201,0.18095238095238098,0.0,0.06666666666666667,0.0,0.3693121693121693,0.9153439153439153,0.06666666666666667,0.13227513227513227,0.19576719576719573,4.666666666666667,0.2201058201058201,
Dave Zangaro,NBC Sports Philadelphia,1,20.833333333333336,5.0,0.20833333333333334,0.0,0.0,0.125,0.0,0.125,0.875,0.0,0.25,0.125,5.0,0.20833333333333334,
