year,source,source_priority,source_url,team_slug,team_name,player_name,player_norm,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,section_label,raw_visit_codes,raw_visit_markers,note
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,James Proche,jamesproche,WR,WR,SMU,senior_bowl_meeting,reported,,,,"Atlanta met with SMU WR James Proche , Portland State TE Charlie Taumoepeau , Houston OT Josh Jones , Wisconsin LB Zack Baun , Georgia Southern K Tyler Bass and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Javaris Davis,javarisdavis,CB,CB,Auburn,combine_meeting,reported,,,,Auburn CB Javaris Davis had a formal Combine interview with the Falcons. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Javon Kinlaw,javonkinlaw,DT,DT,South Carolina,meeting_unspecified,reported,,,,The Falcons also met with South Carolina DT Javon Kinlaw . ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Javon Kinlaw,javonkinlaw,,,,combine_meeting,reported,,,,"The Falcons have met with Auburn DT Derrick Brown , Auburn DL Marlon Davidson and South Carolina Javon Kinlaw at the Combine. ( William McFadden )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Jon Runyan,jonrunyan,OT,OT,Michigan,shrine_bowl_meeting,reported,,,,"The Falcons met with Missouri QB Kelly Bryant , Princeton QB Kevin Davidson , Michigan G Michael Onwenu , Michigan OT Jon Runyan , Arkansas DT McTelvin Agim , Nebraska DT Khalil Davis , North Texas DE LaDarius Hamilton , Missouri S&T DT Tershawn Wharton , Miami LB Michael Pinckney , West Virginia CB Keith Washington , Michigan DE Michael Danna and Miami LB Shaquille Quarterman at the Shrine Bowl. ( The Draft Network )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Jonathan Taylor,jonathantaylor,RB,RB,Wisconsin,combine_meeting,reported,,,,A large portion of the Falcons’ key decision-makers conducted a formal interview with Wisconsin RB Jonathan Taylor at the Combine. ( McClure )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Jordan Love,jordanlove,QB,QB,Utah State,senior_bowl_meeting|shrine_bowl_meeting,reported,,,,Atlanta met with Utah State QB Jordan Love Thursday at the Senior Bowl as well as speaking with Arkansas DT McTelvin Agim after he earned an invitation following his performance at the Shrine Bowl. ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Josh Jones,joshjones,OT,OT,Houston,senior_bowl_meeting,reported,,,,"Atlanta met with SMU WR James Proche , Portland State TE Charlie Taumoepeau , Houston OT Josh Jones , Wisconsin LB Zack Baun , Georgia Southern K Tyler Bass and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Josh Metellus,joshmetellus,S,S,Michigan,senior_bowl_meeting,reported,,,,"Atlanta met with SMU WR James Proche , Portland State TE Charlie Taumoepeau , Houston OT Josh Jones , Wisconsin LB Zack Baun , Georgia Southern K Tyler Bass and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,Justin Gooseberry,justingooseberry,OT,OT,Rice,virtual_meeting,reported,,,,Rice OT Justin Gooseberry had a virtual meeting with the Falcons. Gooseberry is seen as a late-round pick or priority undrafted free agent. ( Aaron Wilson )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,atlanta-falcons,Atlanta Falcons,K'Lavon Chaisson,klavonchaisson,DE,DE,LSU,combine_meeting,reported,,,,LSU DE K’Lavon Chaisson said he had a meeting with the Falcons at the Combine. ( Kelsey Conway )
