year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2026,las-vegas-raiders,Las Vegas Raiders,kaelonblack,Kaelon Black,Running Back,RB,Indiana,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,kamariramsey,Kamari Ramsey,Safety,S,USC,top_30_visit|local_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,LOC,
2026,las-vegas-raiders,Las Vegas Raiders,kaydenmcdonald,Kayden McDonald,DT,DT,Ohio State,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,keyroncrawford,Keyron Crawford,Defensive End,DE,Auburn,top_30_visit,reported,walterfootball,1,1,1,1,1,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,lukedrzewiecki,Luke Drzewiecki,Kicker,K,New Mexico,private_workout,reported,walterfootball,1,1,1,1,1,False,False,False,WOR,
2026,las-vegas-raiders,Las Vegas Raiders,malikmuhammad,Malik Muhammad,CB,CB,Texas,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,maximuspulley,Maximus Pulley,Safety,S,Wofford,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2026,las-vegas-raiders,Las Vegas Raiders,mitchellmelton,Mitchell Melton,DE,DE,Virginia,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,patcoogan,Pat Coogan,C,C,Indiana,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,tedhurst,Ted Hurst,Wide Receiver,WR,Georgia State,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,las-vegas-raiders,Las Vegas Raiders,treydanstukes,Treydan Stukes,CB,CB,Arizona,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,tristanleigh,Tristan Leigh,OT,OT,Clemson,combine_meeting|shrine_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,las-vegas-raiders,Las Vegas Raiders,zachariahbranch,Zachariah Branch,Wide Receiver,WR,Georgia,top_30_visit|local_visit|combine_meeting|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,4,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,calebbanks,Caleb Banks,DT,DT,Florida,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,calebdouglas,Caleb Douglas,Wide Receiver,WR,Texas Tech,pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,WOR,
2026,los-angeles-chargers,Los Angeles Chargers,caleblomu,Caleb Lomu,Offensive Tackle,OT,Utah,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,chasebisontis,Chase Bisontis,Offensive Tackle,OL,Texas A&M,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,coltonhood,Colton Hood,CB,CB,Tennessee,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,dayleneverette,Daylen Everette,CB,CB,Georgia,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,demondclaiborne,Demond Claiborne,RB,RB,Wake Forest,combine_meeting|shrine_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,devonmarshall,Devon Marshall,Safety,S,NC State,virtual_meeting,reported,walterfootball,1,1,1,1,1,False,False,False,VIR,
2026,los-angeles-chargers,Los Angeles Chargers,emmanuelpregnon,Emmanuel Pregnon,G,G,Oregon,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,gabejacas,Gabe Jacas,Defensive End,DE,Illinois,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,gregdesrosiers,Greg Desrosiers,Running Back,RB,Memphis,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,haroldperkins,Harold Perkins,LB,LB,LSU,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,isaiahworld,Isaiah World,Offensive Tackle,OT,Oregon,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,jagerburton,Jager Burton,C,C,watch,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,jalondaniels,Jalon Daniels,Quarterback,QB,Kansas,pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,WOR,
